param: place penalty service :=
1 2 500 90
2 1 500 90
3 1 500 75
4 4 500 120
5 1 500 90
6 1 500 30
7 1 500 290
8 1 500 60
9 1 500 360
10 1 500 60
11 1 500 120
12 1 500 75
13 1 500 60
14 1 500 90
15 1 500 240
16 1 500 110
17 5 500 180
18 1 500 90
19 1 500 180
20 1 500 60
21 5 500 90
22 2 500 60
23 1 500 90
24 2 500 100
25 2 500 90
26 5 500 420
27 4 500 180
28 1 500 30
29 1 500 60
30 2 500 60
31 1 500 90
32 1 500 90
33 4 500 150
34 4 500 80
35 1 500 105
36 4 500 60
37 2 500 60
38 2 500 80
39 4 500 90
40 1 500 60
41 4 500 120
42 2 500 60
43 1 500 207
44 2 500 25
45 3 500 75
46 1 500 90
47 1 500 90
48 1 500 60
49 1 500 60
50 4 500 80
51 1 500 90
52 2 500 30
53 5 500 90
54 4 500 60
55 4 500 60
56 4 500 150
57 1 500 60
58 1 500 60
59 1 500 60
60 4 500 90
61 1 500 30
62 1 500 150
63 1 500 75
64 1 500 10
65 1 500 30
66 2 500 75
67 1 500 60
68 1 500 120
69 3 500 60
70 1 500 180
71 2 500 520
72 1 500 195
73 2 500 120
74 1 500 60
75 1 500 75
76 1 500 100
77 1 500 120
78 1 500 60
79 1 500 100
80 1 500 90
81 1 500 60
82 3 500 30
83 1 500 240
84 4 500 15
85 2 500 70
86 2 500 90
87 1 500 60
88 4 500 120
89 2 500 70
90 1 500 90
91 2 500 120
92 1 500 60
93 1 500 90
94 5 500 160
95 1 500 140
96 3 500 50
97 2 500 20
98 2 500 10
99 1 500 75
100 2 500 60
101 6 0 0
102 6 0 0
103 6 0 0
;
