param C := 30;
param Lcap := 5;

#Set de comunas: 1: Santiago, 2: Providencia, 3: Las Condes, 4: Vitacura
#				 5: Comuna ficticia para nodos ficticios

set orig := 1, 2, 3, 4, 5;
set dest := 1, 2, 3, 4, 5;

#Set de viajes.
set links :=
	(1,1) (1,2) (1,3) (1,4) (1,5)
	(2,1) (2,2) (2,3) (2,4) (2,5)
	(3,1) (3,2) (3,3) (3,4) (3,5)
	(4,1) (4,2) (4,3) (4,4) (4,5)
	(5,1) (5,2) (5,3) (5,4) (5,5);
	
#Costo de viaje entre comunas.	
param t_cost :=
	[1,*] 1 30 2 48 3 72 4 102 5 0
	[2,*] 1 48 2 30 3 23 4 72 5 0
	[3,*] 1 72 2 23 3 30 4 39 5 0 
	[4,*] 1 102 2 72 3 39 4 30 5 0
	[5,*] 1 0 2 0 3 0 4 0 5 0;


param: place penalty service :=
0	1 	50		0
1	1	50		210
2	1	50		60
3	1	50		70
4	2	50		58
5	1	50		60
6	4	50		60
7	3	50		90
8	1	50		150
9	1	50		70
10	2	50		60
11	2	50		62
12	1	50		165
13	1	50		120
14	1	50		60
15	1	50		110
16	2	50		70
17	1	50		100
18	2	50		180
19	1	50		90
20	1	50		120
21	4	50		90
22	4	50		240
23	1	50		94
24	3	50		120
25	1	50		60
26	3	50		165
27	1	50		50
28	3	50		60
29	1	50		40
30	2	50		30
31	5	0		0
32	5 	0		0
33	5	0		0;
